"no","issn","issn2","title","title_main","comments","database","Scopus","WoS","CA","PubMed","Springer","GeoRef","MathSciNet","zbMATH"
597,"1026-3500","","Известия Академии наук. Серия химическая (* англ. Russian Chemical Bulletin)","Известия Академии наук. Серия химическая","(* англ. Russian Chemical Bulletin)","Scopus (а), Springer (а), WoS (а)","да","да","","","да","","",""
598,"2227-2925","2500-1558","Известия вузов. Прикладная химия и биотехнология / IZVESTIYA VUZOV. PRIKLADNAYA KHIMIYA I BIOTEKHNOLOGIYA","Известия вузов. Прикладная химия и биотехнология / IZVESTIYA VUZOV. PRIKLADNAYA KHIMIYA I BIOTEKHNOLOGIYA",NA,"CA(pt), WoS(ESCI)","","да","да","","","","",""
599,"0579-2975","","Известия высших учебных заведений. Авиационная техника (*англ. Russian Aeronautics)","Известия высших учебных заведений. Авиационная техника","(*англ. Russian Aeronautics)","Scopus (а), Springer (а)","да","","","","да","","",""
600,"0016-7762","","Известия высших учебных заведений. Геология и разведка / IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII. GEOLOGIYA I RAZVEDKA","Известия высших учебных заведений. Геология и разведка / IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII. GEOLOGIYA I RAZVEDKA",NA,"CA(pt), GeoRef","","","да","","","да","",""
601,"0536-1028","","Известия высших учебных заведений. Горный журнал","Известия высших учебных заведений. Горный журнал",NA,"GeoRef","","","","","","да","",""
602,"0536-1036","","Известия высших учебных заведений. Лесной журнал / Лесной журнал / Izvestiya Vysshikh Uchebnykh Zavedenii, Lesnoi Zhurnal / LESNOY ZHURNAL-FORESTRY JOURNAL","Известия высших учебных заведений. Лесной журнал / Лесной журнал / Izvestiya Vysshikh Uchebnykh Zavedenii, Lesnoi Zhurnal / LESNOY ZHURNAL-FORESTRY JOURNAL",NA,"CA(pt), WoS(ESCI)","","да","да","","","","",""
603,"0021-3446","2076-4626","Известия высших учебных заведений. Математика (*англ. Russian Mathematics)","Известия высших учебных заведений. Математика","(*англ. Russian Mathematics)","MathSciNet, Scopus (a), Springer (а), WoS(ESCI)  (а), zbMATH (a)","да","да","","","да","","да","да"
604,"1609-3557","2413-6387","Известия высших учебных заведений. Материалы электронной техники (***англ. присоед. к Russain Microelectronics)","Известия высших учебных заведений. Материалы электронной техники","(***англ. присоед. к Russain Microelectronics)","CA(pt)  (а), Scopus (a)","да","","да","","","","",""
605,"0445-0108","","Известия высших учебных заведений. Нефть и газ","Известия высших учебных заведений. Нефть и газ",NA,"CA(pt)","","","да","","","","",""
606,"0579-3009","","Известия высших учебных заведений. Пищевая технология","Известия высших учебных заведений. Пищевая технология",NA,"CA(pt)","","","да","","","","",""
607,"1997-308X","2412-8767","Известия высших учебных заведений. Порошковая металлургия и функциональные покрытия (** англ. сост. в Russian Journal of Non- Ferrous Metals)","Известия высших учебных заведений. Порошковая металлургия и функциональные покрытия","(** англ. сост. в Russian Journal of Non- Ferrous Metals)","Scopus (a), Springer (а), WoS (а)","да","да","","","да","","",""
608,"0869-6632","2542-1905","Известия высших учебных заведений. Прикладная нелинейная динамика / Izvestiya Vysshikh Uchebnykh Zavedeniy. Prikladnaya Nelineynaya Dinamika","Известия высших учебных заведений. Прикладная нелинейная динамика / Izvestiya Vysshikh Uchebnykh Zavedeniy. Prikladnaya Nelineynaya Dinamika",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
609,"0021-3462","","Известия высших учебных заведений. Радиофизика (*англ. Radiophysics and Quantum Electronics)","Известия высших учебных заведений. Радиофизика","(*англ. Radiophysics and Quantum Electronics)","CA(pt) (а), MathSciNet, Scopus (а), WoS (а)","да","да","да","","","","да",""
610,"0321-3005","","Известия высших учебных заведений. Северо- Кавказский регион. Серия: Естественные науки / Izvestiya Vysshikh Uchebnykh Zavedenii, Severo- Kavkazskii Region, Estestvennye Nauki","Известия высших учебных заведений. Северо- Кавказский регион. Серия: Естественные науки / Izvestiya Vysshikh Uchebnykh Zavedenii, Severo- Kavkazskii Region, Estestvennye Nauki",NA,"CA(pt)","","","да","","","","",""
